Text,Labels,Normalisasi,Tokenized_Text,Stemmed_Text
jahat sejati desain skenario gasak sdalam p tundapemilu apdesi kloning bigdata fitnah trio makar konstitusi yg panjahat pan pkb golkar plus dpr uu omnibuslaw simultan kudeta ma pdemokrat her mayestik upacara pedang aja,negatif,jahat sejati desain skenario gasak sdalam p tundapemilu apdesi kloning bigdata fitnah trio makar konstitusi yang panjahat kapan pkb golkar plus dpr uu omnibuslaw simultan kudeta sama pdemokrat her mayestik upacara pedang saja,"['jahat', 'sejati', 'desain', 'skenario', 'gasak', 'sdalam', 'p', 'tundapemilu', 'apdesi', 'kloning', 'bigdata', 'fitnah', 'trio', 'makar', 'konstitusi', 'yang', 'panjahat', 'kapan', 'pkb', 'golkar', 'plus', 'dpr', 'uu', 'omnibuslaw', 'simultan', 'kudeta', 'sama', 'pdemokrat', 'her', 'mayestik', 'upacara', 'pedang', 'saja']","['jahat', 'sejati', 'desain', 'skenario', 'gasak', 'sdalam', 'p', 'tundapemilu', 'apdesi', 'klone', 'bigdata', 'fitnah', 'trio', 'makar', 'konstitusi', 'yang', 'panjahat', 'kapan', 'pkb', 'golkar', 'plu', 'dpr', 'uu', 'omnibuslaw', 'simultan', 'kudeta', 'sama', 'pdemokrat', 'her', 'mayestik', 'upacara', 'pedang', 'saja']"
sapa tau denmas nganu tumbal krn nya ter pilih terus ganti sbb aksi p tundapemilu gagal maning on going kudeta pdemokrat olh moeldoko sandera magung simultan kloning ratu elizabet wafat dadak dah nasibrakyatnegri sdalam kaya,negatif,sapa tau denmas nganu tumbal karena nya ter pilih terus ganti sebab aksi p tundapemilu gagal maning on going kudeta pdemokrat olh moeldoko sandera magung simultan kloning ratu elizabet wafat dadak deh nasibrakyatnegri sdalam kayak,"['sapa', 'tau', 'denmas', 'nganu', 'tumbal', 'karena', 'nya', 'ter', 'pilih', 'terus', 'ganti', 'sebab', 'aksi', 'p', 'tundapemilu', 'gagal', 'maning', 'on', 'going', 'kudeta', 'pdemokrat', 'olh', 'moeldoko', 'sandera', 'magung', 'simultan', 'kloning', 'ratu', 'elizabet', 'wafat', 'dadak', 'deh', 'nasibrakyatnegri', 'sdalam', 'kayak']","['sapa', 'tau', 'denma', 'nganu', 'tumbal', 'karena', 'nya', 'ter', 'pilih', 'teru', 'ganti', 'sebab', 'aksi', 'p', 'tundapemilu', 'gagal', 'mane', 'on', 'go', 'kudeta', 'pdemokrat', 'olh', 'moeldoko', 'sandera', 'magung', 'simultan', 'klone', 'ratu', 'elizabet', 'wafat', 'dadak', 'deh', 'nasibrakyatnegri', 'sdalam', 'kayak']"
netral dl milu golput tp tdk curang tuduh periode curang tuduh tunda milu curang netral brti bebas curang dukung pilih yg baik adl hak hak dukung pimpin hebat wajib lahir terus pimpin   ,positif,netral dulu milu golput tapi tidak curang tuduh periode curang tuduh tunda milu curang netral brti bebas curang dukung pilih yang baik adalah hak hak dukung pimpin hebat wajib lahir terus pimpin,"['netral', 'dulu', 'milu', 'golput', 'tapi', 'tidak', 'curang', 'tuduh', 'periode', 'curang', 'tuduh', 'tunda', 'milu', 'curang', 'netral', 'brti', 'bebas', 'curang', 'dukung', 'pilih', 'yang', 'baik', 'adalah', 'hak', 'hak', 'dukung', 'pimpin', 'hebat', 'wajib', 'lahir', 'terus', 'pimpin']","['netral', 'dulu', 'milu', 'golput', 'tapi', 'tidak', 'curang', 'tuduh', 'period', 'curang', 'tuduh', 'tunda', 'milu', 'curang', 'netral', 'brti', 'beba', 'curang', 'dukung', 'pilih', 'yang', 'baik', 'adalah', 'hak', 'hak', 'dukung', 'pimpin', 'hebat', 'wajib', 'lahir', 'teru', 'pimpin']"
cawe cawe sibuk lobi pasang mk drama puala dunia dll bawaslu yg nyemprit salah instansi hukum yg pihak menghandle suara kritis smg rencana tunda milu panjang dll orang beg,negatif,cawe cawe sibuk lobi pasang maka drama puala dunia dll bawaslu yang nyemprit salah instansi hukum yang pihak menghandle suara kritis semoga rencana tunda milu panjang dll orang beg,"['cawe', 'cawe', 'sibuk', 'lobi', 'pasang', 'maka', 'drama', 'puala', 'dunia', 'dll', 'bawaslu', 'yang', 'nyemprit', 'salah', 'instansi', 'hukum', 'yang', 'pihak', 'menghandle', 'suara', 'kritis', 'semoga', 'rencana', 'tunda', 'milu', 'panjang', 'dll', 'orang', 'beg']","['caw', 'caw', 'sibuk', 'lobi', 'pasang', 'maka', 'drama', 'puala', 'dunia', 'dll', 'bawaslu', 'yang', 'nyemprit', 'salah', 'instansi', 'hukum', 'yang', 'pihak', 'menghandl', 'suara', 'kriti', 'semoga', 'rencana', 'tunda', 'milu', 'panjang', 'dll', 'orang', 'beg']"
selenggara milu produk rezim curang yg bertahta bukti mrk sdh kuasa maksimal periode sesuai konstitusi periode tunda milu ambisi tsb ditelerir lbh,negatif,selenggara milu produk rezim curang yang bertahta bukti mereka sudah kuasa maksimal periode sesuai konstitusi periode tunda milu ambisi tersebut ditelerir lebih,"['selenggara', 'milu', 'produk', 'rezim', 'curang', 'yang', 'bertahta', 'bukti', 'mereka', 'sudah', 'kuasa', 'maksimal', 'periode', 'sesuai', 'konstitusi', 'periode', 'tunda', 'milu', 'ambisi', 'tersebut', 'ditelerir', 'lebih']","['selenggara', 'milu', 'produk', 'rezim', 'curang', 'yang', 'bertahta', 'bukti', 'mereka', 'sudah', 'kuasa', 'maksim', 'period', 'sesuai', 'konstitusi', 'period', 'tunda', 'milu', 'ambisi', 'tersebut', 'ditelerir', 'lebih']"
data data milu milu tunda,negatif,data data milu milu tunda,"['data', 'data', 'milu', 'milu', 'tunda']","['data', 'data', 'milu', 'milu', 'tunda']"
tuuh komplot terorisbangkrutkannegara ogah nikmat yg ter pikir p tundapemilu gt buntu kloning apdesi kudeta parpol kudeta uu omnibuslaw korban nya hakim mk aswanto pecat dpr yg blum ybs bunuh aja jk iya maaf,negatif,tuh komplot terorisbangkrutkannegara ogah nikmat yang ter pikir p tundapemilu begitu buntu kloning apdesi kudeta parpol kudeta uu omnibuslaw korban nya hakim maka aswanto pecat dpr yang belum ybs bunuh saja jika iya maaf,"['tuh', 'komplot', 'terorisbangkrutkannegara', 'ogah', 'nikmat', 'yang', 'ter', 'pikir', 'p', 'tundapemilu', 'begitu', 'buntu', 'kloning', 'apdesi', 'kudeta', 'parpol', 'kudeta', 'uu', 'omnibuslaw', 'korban', 'nya', 'hakim', 'maka', 'aswanto', 'pecat', 'dpr', 'yang', 'belum', 'ybs', 'bunuh', 'saja', 'jika', 'iya', 'maaf']","['tuh', 'komplot', 'terorisbangkrutkannegara', 'ogah', 'nikmat', 'yang', 'ter', 'pikir', 'p', 'tundapemilu', 'begitu', 'buntu', 'klone', 'apdesi', 'kudeta', 'parpol', 'kudeta', 'uu', 'omnibuslaw', 'korban', 'nya', 'hakim', 'maka', 'aswanto', 'pecat', 'dpr', 'yang', 'belum', 'yb', 'bunuh', 'saja', 'jika', 'iya', 'maaf']"
yg tunda milu panjang masabakti,negatif,yang tunda milu panjang masabakti,"['yang', 'tunda', 'milu', 'panjang', 'masabakti']","['yang', 'tunda', 'milu', 'panjang', 'masabakti']"
akal bulus utk tunda milu,negatif,akal bulus untuk tunda milu,"['akal', 'bulus', 'untuk', 'tunda', 'milu']","['akal', 'bulu', 'untuk', 'tunda', 'milu']"
cipta kondisi chaos jd alas tunda milu sbg salah strategi skenario a z,negatif,cipta kondisi chaos jadi alas tunda milu sebagai salah strategi skenario a saja,"['cipta', 'kondisi', 'chaos', 'jadi', 'alas', 'tunda', 'milu', 'sebagai', 'salah', 'strategi', 'skenario', 'a', 'saja']","['cipta', 'kondisi', 'chao', 'jadi', 'ala', 'tunda', 'milu', 'sebagai', 'salah', 'strategi', 'skenario', 'a', 'saja']"
